matchup,opening_idx,side,az_player,winner,az_score,opening_key
Random,3,1,Player0,Player0,1.0,..X......o
Random,4,0,Player1,Player1,1.0,......X..o
Random,4,1,Player0,Player0,1.0,......X..o
Random,5,0,Player1,Player1,1.0,........Xo
Random,5,1,Player0,Player0,1.0,........Xo
Random,6,0,Player1,Player1,1.0,.X.......o
Random,6,1,Player0,Player0,1.0,.X.......o
Random,7,0,Player1,Player1,1.0,...X.....o
Random,7,1,Player0,Player0,1.0,...X.....o
Random,8,0,Player1,Player1,1.0,.....X...o
Random,8,1,Player0,Player0,1.0,.....X...o
Random,9,0,Player1,Draw,0.5,.......X.o
Random,9,1,Player0,Player0,1.0,.......X.o
Random,10,0,Player0,Player0,1.0,O...X....x
Random,10,1,Player1,Player1,1.0,O...X....x
Random,11,0,Player0,Player0,1.0,..O.X....x
Random,11,1,Player1,Player1,1.0,..O.X....x
Random,12,0,Player0,Player0,1.0,....X.O..x
Random,12,1,Player1,Player1,1.0,....X.O..x
Random,13,0,Player0,Player0,1.0,....X...Ox
Random,13,1,Player1,Draw,0.5,....X...Ox
Random,14,0,Player0,Player0,1.0,.O..X....x
Random,14,1,Player1,Player1,1.0,.O..X....x
Random,15,0,Player0,Player0,1.0,...OX....x
Random,15,1,Player1,Player0,0.0,...OX....x
Random,16,0,Player0,Player0,1.0,....XO...x
Random,16,1,Player1,Draw,0.5,....XO...x
Random,17,0,Player0,Player0,1.0,....X..O.x
Random,17,1,Player1,Player0,0.0,....X..O.x
Random,18,0,Player0,Player0,1.0,X...O....x
Random,18,1,Player1,Player1,1.0,X...O....x
Random,19,0,Player0,Player0,1.0,X.O......x
Random,19,1,Player1,Player1,1.0,X.O......x
Random,20,0,Player0,Player0,1.0,X.....O..x
Random,20,1,Player1,Draw,0.5,X.....O..x
Random,21,0,Player0,Player0,1.0,X.......Ox
Random,21,1,Player1,Player1,1.0,X.......Ox
Random,22,0,Player0,Player0,1.0,XO.......x
Random,22,1,Player1,Draw,0.5,XO.......x
Random,23,0,Player0,Player0,1.0,X..O.....x
Random,23,1,Player1,Player1,1.0,X..O.....x
Random,24,0,Player0,Player0,1.0,X....O...x
Random,24,1,Player1,Player1,1.0,X....O...x
